,url,property_name,city,rent_updated,n_bed,n_bath,sq_ft_updated,walkscore,allow_pet,minimum_lease,onsite_parking,pool,fitness_center,elevator,kitchen_features,security_system,washer_dryer,internet,air_conditioning,furnished,rent_range,sq_ft_range
0,https://www.apartments.com/aya-fremont-ca/wxez1gh/,AYA,Fremont,2545.0,0,1.0,576.0,22.0,1,12,1,1,1,1,11,1,1,1,1,0,0,0
7,https://www.apartments.com/aya-fremont-ca/wxez1gh/,AYA,Fremont,3070.0,1,1.0,881.0,22.0,1,12,1,1,1,1,11,1,1,1,1,0,0,0
9,https://www.apartments.com/aya-fremont-ca/wxez1gh/,AYA,Fremont,3229.0,1,1.0,922.0,22.0,1,12,1,1,1,1,11,1,1,1,1,0,0,0
14,https://www.apartments.com/aya-fremont-ca/wxez1gh/,AYA,Fremont,3460.0,2,2.0,1131.0,22.0,1,12,1,1,1,1,11,1,1,1,1,0,0,0
15,https://www.apartments.com/aya-fremont-ca/wxez1gh/,AYA,Fremont,3496.0,2,2.0,1092.0,22.0,1,12,1,1,1,1,11,1,1,1,1,0,0,0
16,https://www.apartments.com/aya-fremont-ca/wxez1gh/,AYA,Fremont,3573.0,2,2.0,1159.0,22.0,1,12,1,1,1,1,11,1,1,1,1,0,0,0
22,https://www.apartments.com/aya-fremont-ca/wxez1gh/,AYA,Fremont,4093.0,3,2.0,1489.0,22.0,1,12,1,1,1,1,11,1,1,1,1,0,0,0
24,https://www.apartments.com/pierside-north-oceanside-ca/nvnqpjm/,Pierside North,Oceanside,2330.0,0,1.0,674.0,94.0,1,12,1,1,1,0,3,0,0,0,1,0,0,0
25,https://www.apartments.com/pierside-north-oceanside-ca/nvnqpjm/,Pierside North,Oceanside,2712.0,1,1.0,694.0,94.0,1,12,1,1,1,0,3,0,0,0,1,0,0,0
26,https://www.apartments.com/pierside-north-oceanside-ca/nvnqpjm/,Pierside North,Oceanside,2720.0,1,1.0,648.0,94.0,1,12,1,1,1,0,3,0,0,0,1,0,0,0
27,https://www.apartments.com/pierside-north-oceanside-ca/nvnqpjm/,Pierside North,Oceanside,2745.0,1,1.0,704.0,94.0,1,12,1,1,1,0,3,0,0,0,1,0,0,0
28,https://www.apartments.com/pierside-north-oceanside-ca/nvnqpjm/,Pierside North,Oceanside,2795.0,1,1.0,730.0,94.0,1,12,1,1,1,0,3,0,0,0,1,0,0,0
29,https://www.apartments.com/pierside-north-oceanside-ca/nvnqpjm/,Pierside North,Oceanside,2987.0,1,1.0,750.0,94.0,1,12,1,1,1,0,3,0,0,0,1,0,0,0
30,https://www.apartments.com/pierside-north-oceanside-ca/nvnqpjm/,Pierside North,Oceanside,3245.0,1,1.5,1014.0,94.0,1,12,1,1,1,0,3,0,0,0,1,0,0,0
31,https://www.apartments.com/pierside-north-oceanside-ca/nvnqpjm/,Pierside North,Oceanside,3640.0,1,1.0,1221.0,94.0,1,12,1,1,1,0,3,0,0,0,1,0,0,0
32,https://www.apartments.com/pierside-north-oceanside-ca/nvnqpjm/,Pierside North,Oceanside,3258.0,2,2.0,1086.0,94.0,1,12,1,1,1,0,3,0,0,0,1,0,0,0
33,https://www.apartments.com/pierside-north-oceanside-ca/nvnqpjm/,Pierside North,Oceanside,3396.0,2,2.0,1011.0,94.0,1,12,1,1,1,0,3,0,0,0,1,0,0,0
34,https://www.apartments.com/pierside-north-oceanside-ca/nvnqpjm/,Pierside North,Oceanside,3533.0,2,2.0,1017.0,94.0,1,12,1,1,1,0,3,0,0,0,1,0,0,0
35,https://www.apartments.com/pierside-north-oceanside-ca/nvnqpjm/,Pierside North,Oceanside,3577.0,2,2.0,1033.0,94.0,1,12,1,1,1,0,3,0,0,0,1,0,0,0
36,https://www.apartments.com/pierside-south-oceanside-ca/2jc1knb/,Pierside South,Oceanside,2225.0,0,1.0,521.0,94.0,1,12,0,1,1,0,0,0,0,0,0,0,0,0
37,https://www.apartments.com/pierside-south-oceanside-ca/2jc1knb/,Pierside South,Oceanside,2235.0,0,1.0,575.0,94.0,1,12,0,1,1,0,0,0,0,0,0,0,0,0
38,https://www.apartments.com/pierside-south-oceanside-ca/2jc1knb/,Pierside South,Oceanside,2255.0,0,1.0,548.0,94.0,1,12,0,1,1,0,0,0,0,0,0,0,0,0
39,https://www.apartments.com/pierside-south-oceanside-ca/2jc1knb/,Pierside South,Oceanside,2935.0,1,1.0,859.0,94.0,1,12,0,1,1,0,0,0,0,0,0,0,0,0
40,https://www.apartments.com/pierside-south-oceanside-ca/2jc1knb/,Pierside South,Oceanside,2965.0,1,1.0,820.0,94.0,1,12,0,1,1,0,0,0,0,0,0,0,0,0
41,https://www.apartments.com/pierside-south-oceanside-ca/2jc1knb/,Pierside South,Oceanside,2985.0,1,1.0,837.0,94.0,1,12,0,1,1,0,0,0,0,0,0,0,0,0
42,https://www.apartments.com/pierside-south-oceanside-ca/2jc1knb/,Pierside South,Oceanside,3295.0,1,1.0,872.0,94.0,1,12,0,1,1,0,0,0,0,0,0,0,0,0
43,https://www.apartments.com/pierside-south-oceanside-ca/2jc1knb/,Pierside South,Oceanside,3655.0,1,1.0,840.0,94.0,1,12,0,1,1,0,0,0,0,0,0,0,0,0
44,https://www.apartments.com/pierside-south-oceanside-ca/2jc1knb/,Pierside South,Oceanside,4386.0,2,2.0,1458.0,94.0,1,12,0,1,1,0,0,0,0,0,0,0,0,0
45,https://www.apartments.com/pierside-south-oceanside-ca/2jc1knb/,Pierside South,Oceanside,3264.0,2,2.0,1114.0,94.0,1,12,0,1,1,0,0,0,0,0,0,0,0,0
46,https://www.apartments.com/pierside-south-oceanside-ca/2jc1knb/,Pierside South,Oceanside,3297.0,2,2.0,1075.0,94.0,1,12,0,1,1,0,0,0,0,0,0,0,0,0
47,https://www.apartments.com/pierside-south-oceanside-ca/2jc1knb/,Pierside South,Oceanside,3352.0,2,2.0,1096.0,94.0,1,12,0,1,1,0,0,0,0,0,0,0,0,0
48,https://www.apartments.com/pierside-south-oceanside-ca/2jc1knb/,Pierside South,Oceanside,3363.0,2,2.0,1053.0,94.0,1,12,0,1,1,0,0,0,0,0,0,0,0,0
49,https://www.apartments.com/pierside-south-oceanside-ca/2jc1knb/,Pierside South,Oceanside,3379.0,2,2.0,1125.0,94.0,1,12,0,1,1,0,0,0,0,0,0,0,0,0
50,https://www.apartments.com/pierside-south-oceanside-ca/2jc1knb/,Pierside South,Oceanside,3550.0,2,2.0,1113.0,94.0,1,12,0,1,1,0,0,0,0,0,0,0,0,0
51,https://www.apartments.com/pierside-south-oceanside-ca/2jc1knb/,Pierside South,Oceanside,3555.0,2,2.0,1121.0,94.0,1,12,0,1,1,0,0,0,0,0,0,0,0,0
52,https://www.apartments.com/pierside-south-oceanside-ca/2jc1knb/,Pierside South,Oceanside,3610.0,2,2.0,1149.0,94.0,1,12,0,1,1,0,0,0,0,0,0,0,0,0
53,https://www.apartments.com/pierside-south-oceanside-ca/2jc1knb/,Pierside South,Oceanside,3863.0,2,2.0,1114.0,94.0,1,12,0,1,1,0,0,0,0,0,0,0,0,0
